alpha-memory242,beta-memory240,beta-memory238,alpha-memory233,beta-memory231,alpha-memory229,filter-memory226,alpha-memory223,exists-start-node221,alpha-memory219,beta-memory217,alpha-memory215,beta-memory213,alpha-memory211,alpha-memory207,beta-memory205,alpha-memory203,beta-memory201,alpha-memory199,beta-memory197,alpha-memory195,beta-memory191,alpha-memory189,beta-memory187,beta-memory185,alpha-memory183,beta-memory181,alpha-memory179,beta-memory177,alpha-memory175,beta-memory171,beta-memory169,beta-memory167,beta-memory165,alpha-memory163,alpha-memory158,beta-memory156,beta-memory154,alpha-memory149,beta-memory147,filter-memory144,alpha-memory141,exists-start-node139,alpha-memory137,beta-memory135,alpha-memory133,beta-memory131,alpha-memory129,alpha-memory124,beta-memory122,beta-memory120,alpha-memory115,beta-memory113,filter-memory110,alpha-memory107,exists-start-node105,alpha-memory103,beta-memory101,alpha-memory99,beta-memory97,alpha-memory95,beta-memory93,alpha-memory90,beta-memory88,alpha-memory86,beta-memory84,alpha-memory82,beta-memory80,alpha-memory78,beta-memory74,beta-memory72,beta-memory70,alpha-memory68,beta-memory66,beta-memory64,alpha-memory62,beta-memory60,alpha-memory58,beta-memory54,alpha-memory52,beta-memory50,alpha-memory48,beta-memory46,alpha-memory44,beta-memory42,alpha-memory40,beta-memory38,alpha-memory36,beta-memory34,alpha-memory32,alpha-memory27,exists-start-node25,alpha-memory22,beta-memory20,beta-memory18,alpha-memory16,alpha-memory11,alpha-memory9,beta-memory7,alpha-memory4,beta-memory1,alpha-memory158,beta-memory156,beta-memory154,alpha-memory149,beta-memory147,filter-memory144,alpha-memory141,exists-start-node139,alpha-memory137,beta-memory135,alpha-memory133,beta-memory131,alpha-memory129,alpha-memory124,beta-memory122,beta-memory120,alpha-memory115,beta-memory113,filter-memory110,alpha-memory107,exists-start-node105,alpha-memory103,beta-memory101,alpha-memory99,beta-memory97,alpha-memory95,beta-memory93,alpha-memory90,beta-memory88,alpha-memory86,beta-memory84,alpha-memory82,beta-memory80,alpha-memory78,beta-memory74,beta-memory72,beta-memory70,alpha-memory68,beta-memory66,beta-memory64,alpha-memory62,beta-memory60,alpha-memory58,beta-memory54,alpha-memory52,beta-memory50,alpha-memory48,beta-memory46,alpha-memory44,beta-memory42,alpha-memory40,beta-memory38,alpha-memory36,beta-memory34,alpha-memory32,alpha-memory27,exists-start-node25,alpha-memory22,beta-memory20,beta-memory18,alpha-memory16,alpha-memory11,alpha-memory9,beta-memory7,alpha-memory4,beta-memory1,alpha-memory27,exists-start-node25,alpha-memory22,beta-memory20,beta-memory18,alpha-memory16,alpha-memory11,alpha-memory9,beta-memory7,alpha-memory4,beta-memory1,alpha-index 243,beta-index 243,alpha-index 239,beta-index 239,alpha-index 234,beta-index 234,alpha-index 224,beta-index 224,alpha-index 220,beta-index 220,alpha-index 208,beta-index 208,alpha-index 204,beta-index 204,alpha-index 200,beta-index 200,alpha-index 190,beta-index 190,alpha-index 186,beta-index 186,alpha-index 184,beta-index 184,alpha-index 180,beta-index 180,alpha-index 176,beta-index 176,alpha-index 170,beta-index 170,alpha-index 168,beta-index 168,alpha-index 166,beta-index 166,alpha-index 164,beta-index 164,alpha-index 159,beta-index 159,alpha-index 155,beta-index 155,alpha-index 150,beta-index 150,alpha-index 142,beta-index 142,alpha-index 138,beta-index 138,alpha-index 125,beta-index 125,alpha-index 121,beta-index 121,alpha-index 116,beta-index 116,alpha-index 108,beta-index 108,alpha-index 104,beta-index 104,alpha-index 91,beta-index 91,alpha-index 87,beta-index 87,alpha-index 83,beta-index 83,alpha-index 73,beta-index 73,alpha-index 71,beta-index 71,alpha-index 69,beta-index 69,alpha-index 65,beta-index 65,alpha-index 63,beta-index 63,alpha-index 53,beta-index 53,alpha-index 49,beta-index 49,alpha-index 45,beta-index 45,alpha-index 41,beta-index 41,alpha-index 37,beta-index 37,alpha-index 159,beta-index 159,alpha-index 155,beta-index 155,alpha-index 150,beta-index 150,alpha-index 142,beta-index 142,alpha-index 138,beta-index 138,alpha-index 125,beta-index 125,alpha-index 121,beta-index 121,alpha-index 116,beta-index 116,alpha-index 108,beta-index 108,alpha-index 104,beta-index 104,alpha-index 91,beta-index 91,alpha-index 87,beta-index 87,alpha-index 83,beta-index 83,alpha-index 73,beta-index 73,alpha-index 71,beta-index 71,alpha-index 69,beta-index 69,alpha-index 65,beta-index 65,alpha-index 63,beta-index 63,alpha-index 53,beta-index 53,alpha-index 49,beta-index 49,alpha-index 45,beta-index 45,alpha-index 41,beta-index 41,alpha-index 37,beta-index 37
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,16,16,279,0,279,16,16,16,1,1,0,0,0,16,16,16,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,1848,8,1848,8,8,8,1,1,8,96,96,8,96,5020,8,5020,96,96,96,1,1,1,8,0,8,96,96,96,96,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,16,16,16,0,16,0,16,16,16,0,0,0,16,16,16,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,8,8,8,8,8,8,1600,8,8,8,96,96,96,8,96,8,1680,96,96,8,0,8,96,96,96,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,14,0,14,14,440,0,440,14,14,14,1,1,0,0,0,14,14,14,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,112,112,8,112,3612,8,3612,112,112,112,1,1,16,140,140,16,140,7380,16,7380,140,140,140,1,1,1,112,0,112,140,140,140,140,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,14,14,14,0,14,0,33,14,14,0,0,0,14,14,14,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,112,112,112,8,112,8,3300,112,112,16,140,140,140,16,140,16,3320,140,140,112,0,112,140,140,140,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,11,0,11,11,477,0,477,11,11,11,1,1,0,0,0,11,11,11,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,232,232,160,232,5380,160,5380,232,232,232,1,1,160,312,312,160,312,9216,160,9216,312,312,312,1,1,1,232,0,232,312,312,312,312,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,11,11,11,0,11,0,49,11,11,0,0,0,11,11,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,232,232,232,160,232,160,4900,232,232,160,312,312,312,160,312,160,4980,312,312,232,0,232,312,312,312,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,9,1,9,9,516,1,516,9,9,9,1,1,0,0,0,9,9,9,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,208,208,160,208,7400,160,7400,208,208,208,1,1,160,228,228,160,228,11176,160,11176,228,228,228,1,1,1,208,0,208,228,228,228,228,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,9,9,9,1,9,1,66,9,9,0,0,0,9,9,9,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,208,208,208,160,208,160,6600,208,208,160,228,228,228,160,228,160,6620,228,228,208,0,208,228,228,228,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,5,1,5,5,555,1,555,5,5,5,1,1,0,0,0,5,5,5,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,176,176,160,176,9320,160,9320,176,176,176,1,1,160,256,256,160,256,13156,160,13156,256,256,256,1,1,1,176,0,176,256,256,256,256,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,5,5,5,1,5,1,82,5,5,0,0,0,5,5,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,176,176,176,160,176,160,8200,176,176,160,256,256,256,160,256,160,8280,256,256,176,0,176,256,256,256,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,22,1,22,22,572,1,572,22,22,22,1,1,0,0,0,22,22,22,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,312,312,160,312,11020,160,11020,312,312,312,1,1,160,352,352,160,352,14816,160,14816,352,352,352,1,1,1,312,0,312,352,352,352,352,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,22,22,22,1,22,1,99,22,22,0,0,0,22,22,22,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,312,312,312,160,312,160,9900,312,312,160,352,352,352,160,352,160,9940,352,352,312,0,312,352,352,352,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,18,1,18,18,611,1,611,18,18,18,1,1,0,0,0,18,18,18,18,0,100,0,0,0,0,0,0,0,1,1,1,1,1,160,280,280,160,280,12940,160,12940,280,280,280,1,1,160,380,380,160,380,16796,160,16796,380,380,380,1,1,1,280,0,280,380,380,380,380,100,1,1,1,1,1,1,1,1,0,100,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,18,18,18,1,18,1,115,18,18,0,0,0,18,18,18,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,160,280,280,280,160,280,160,11500,280,280,160,380,380,380,160,380,160,11600,380,380,280,0,280,380,380,380,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,15,1,15,15,651,1,651,15,15,15,1,1,0,0,0,15,15,15,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,256,256,160,256,14960,160,14960,256,256,256,1,1,160,296,296,160,296,18756,160,18756,296,296,296,1,1,1,256,0,256,296,296,296,296,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,15,15,15,1,15,1,132,15,15,0,0,0,15,15,15,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,256,256,256,160,256,160,13200,256,256,160,296,296,296,160,296,160,13240,296,296,256,0,256,296,296,296,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,11,1,11,11,690,1,690,11,11,11,1,1,0,0,0,11,11,11,11,0,100,0,0,0,0,0,0,0,1,1,1,1,1,160,224,224,160,224,16880,160,16880,224,224,224,1,1,160,324,324,160,324,20736,160,20736,324,324,324,1,1,1,224,0,224,324,324,324,324,100,1,1,1,1,1,1,1,1,0,100,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,11,11,11,1,11,1,148,11,11,0,0,0,11,11,11,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,160,224,224,224,160,224,160,14800,224,224,160,324,324,324,160,324,160,14900,324,324,224,0,224,324,324,324,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,1,8,8,730,1,730,8,8,8,1,1,0,0,0,8,8,8,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,200,200,160,200,18900,160,18900,200,200,200,1,1,160,240,240,160,240,22696,160,22696,240,240,240,1,1,1,200,0,200,240,240,240,240,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,8,8,8,1,8,1,165,8,8,0,0,0,8,8,8,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,200,200,200,160,200,160,16500,200,200,160,240,240,240,160,240,160,16540,240,240,200,0,200,240,240,240,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,1,4,4,769,1,769,4,4,4,1,1,0,0,0,4,4,4,4,0,100,0,0,0,0,0,0,0,1,1,1,1,1,160,168,168,160,168,20820,160,20820,168,168,168,1,1,160,268,268,160,268,24676,160,24676,268,268,268,1,1,1,168,0,168,268,268,268,268,100,1,1,1,1,1,1,1,1,0,100,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,4,4,4,1,4,1,181,4,4,0,0,0,4,4,4,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,160,168,168,168,160,168,160,18100,168,168,160,268,268,268,160,268,160,18200,268,268,168,0,168,268,268,268,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,21,1,21,21,786,1,786,21,21,21,1,1,0,0,0,21,21,21,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,304,304,160,304,22520,160,22520,304,304,304,1,1,160,364,364,160,364,26336,160,26336,364,364,364,1,1,1,304,0,304,364,364,364,364,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,21,21,21,1,21,1,198,21,21,0,0,0,21,21,21,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,304,304,304,160,304,160,19800,304,304,160,364,364,364,160,364,160,19860,364,364,304,0,304,364,364,364,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,18,1,18,18,826,1,826,18,18,18,1,1,0,0,0,18,18,18,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,280,280,160,280,24540,160,24540,280,280,280,1,1,160,280,280,160,280,28296,160,28296,280,280,280,1,1,1,280,0,280,280,280,280,280,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,18,18,18,1,18,1,215,18,18,0,0,0,18,18,18,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,280,280,280,160,280,160,21500,280,280,160,280,280,280,160,280,160,21500,280,280,280,0,280,280,280,280,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,14,1,14,14,865,1,865,14,14,14,1,1,0,0,0,14,14,14,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,248,248,160,248,26460,160,26460,248,248,248,1,1,160,308,308,160,308,30276,160,30276,308,308,308,1,1,1,248,0,248,308,308,308,308,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,14,14,14,1,14,1,231,14,14,0,0,0,14,14,14,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,248,248,248,160,248,160,23100,248,248,160,308,308,308,160,308,160,23160,308,308,248,0,248,308,308,308,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,11,1,11,11,905,1,905,11,11,11,1,1,0,0,0,11,11,11,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,160,224,224,160,224,28480,160,28480,224,224,224,1,1,160,224,224,160,224,32236,160,32236,224,224,224,1,1,1,224,0,224,224,224,224,224,0,0,0,0,0,0,0,0,0,20,20,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,11,11,11,1,11,1,248,11,11,0,0,0,11,11,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,160,224,224,224,160,224,160,24800,224,224,160,224,224,224,160,224,160,24800,224,224,224,0,224,224,224,224,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
